y_true,y_pred
46,6
59,38
67,67
0,0
86,0
36,36
3,62
49,99
64,99
80,80
42,64
20,4
48,48
84,84
65,16
91,86
94,17
98,98
48,77
62,62
6,35
59,84
56,29
37,37
23,31
97,97
12,12
51,86
76,18
66,66
19,7
38,69
11,11
26,30
23,4
28,70
82,82
56,29
63,33
81,84
88,57
93,0
29,21
16,16
71,39
73,73
16,16
76,27
23,17
99,99
5,61
79,25
21,21
1,54
64,64
34,64
69,12
15,60
37,24
10,17
4,4
25,25
29,29
0,0
78,16
45,11
0,0
4,6
8,41
19,63
20,41
90,11
13,17
51,3
42,84
95,72
26,26
21,25
83,89
34,32
32,18
43,84
60,89
42,73
74,24
78,49
28,46
24,74
0,0
80,84
39,39
98,98
51,34
59,84
55,54
9,48
68,17
90,90
2,2
27,35
79,79
38,38
7,21
56,84
54,54
27,27
92,70
53,17
88,87
68,55
30,74
75,2
93,64
84,93
19,19
96,4
35,90
85,92
87,2
67,67
77,77
11,93
40,40
92,70
78,61
52,29
41,41
89,89
2,2
30,39
91,91
86,86
10,10
41,41
16,16
14,31
33,33
44,91
46,46
57,57
86,86
20,92
43,43
94,90
21,35
57,57
8,61
3,61
65,92
40,40
62,31
24,18
24,24
17,17
2,2
39,18
18,21
31,11
25,18
14,31
7,29
46,31
2,25
38,62
7,7
60,89
36,36
5,18
89,89
22,35
77,77
58,58
72,6
18,18
72,17
14,65
61,49
76,18
25,25
9,45
28,28
8,8
63,63
82,82
60,58
32,32
12,12
85,18
61,39
31,45
49,49
88,72
17,17
80,17
99,67
50,50
11,93
5,66
3,62
44,7
96,35
35,35
52,29
12,12
67,92
15,89
47,58
36,36
95,25
65,61
13,17
53,53
69,69
3,79
57,53
71,39
30,74
4,2
55,49
70,59
18,17
70,70
2,2
81,81
22,31
1,45
43,88
15,35
75,69
97,70
50,61
17,17
47,47
66,54
13,17
6,6
74,74
73,73
96,17
27,20
26,26
83,70
31,15
1,70
1,31
22,45
48,48
87,87
68,17
6,6
45,45
10,41
9,18
54,98
58,58
33,25
71,18
29,0
